identity,model_name,detector_backend,number,embedding
uploads\faces\self_imge_1.jpg,ArcFace,opencv,0,"[     0.1289    0.038843     0.23279     0.10548     -0.1382    0.043159    -0.10368   -0.033764     0.16552    -0.17604     0.46284   -0.089139    -0.41262     0.11457     0.17246    0.076947    -0.09723    -0.12809     0.20506    -0.16978     0.20467   0.0016252     0.53705    -0.07776   -0.057727    -0.29365
    -0.10571     0.19803    0.011334    -0.44747    -0.18064   0.0031013     0.28438    0.011262    0.029625    -0.28293   0.0026945    0.064373     0.28057    -0.12731   0.0088678     0.45273     0.30991    -0.25706    -0.37375   -0.047494    -0.19025    0.056864     0.37773    -0.16353      0.1502     0.41233
    -0.47723    -0.20347    -0.10533     0.25146      0.1717   -0.014967     -0.2114    -0.58181    -0.75099     0.31711     0.10377    -0.18429     0.18392     0.24251    0.089252    -0.29576    -0.58729   -0.016141    -0.51434   -0.071449     0.29617   -0.038925    -0.28006   -0.030071    -0.23953     0.10954
   -0.052265  -0.0070847   -0.017327    -0.22087    -0.11859     -0.2539      0.3864     0.23115   0.0087084    -0.10466    -0.21286    0.079826    0.081619    -0.22491    -0.33624     -0.1317    -0.11278    0.047938   -0.041681    0.063544     0.39567   -0.016899    -0.30628   -0.097113    0.048188    -0.12806
     0.43525    -0.12381     0.08347     0.32555   0.0082376    0.030394    -0.10874    -0.39411   -0.078608     0.12505    -0.05028   -0.032417     0.34073    -0.18311     -0.3542    -0.16093    0.096653    -0.21108   -0.084983     0.14388   -0.094698    -0.31058     0.13145     -0.7435     0.18746     0.29431
    -0.35266   -0.011896    -0.16864    -0.19954      0.1435    -0.12034   -0.079375     0.16261   0.0033937      0.2179    -0.36998    0.051876   -0.023582   -0.081628  -0.0087739     0.51299    -0.23556   -0.065244     0.17053     0.32657    0.027993    0.077207    0.080217    -0.12163    0.055268    -0.11003
    0.065142    0.027364     0.24144   -0.083122    -0.10637     0.23403     -0.1864    -0.16757    0.061814   0.0070637     0.27791    -0.30015    -0.18927    -0.15605     0.16044     -0.3422    0.063932    -0.19357    0.011359    -0.15656     0.17741     0.13014    -0.10777    -0.35617   -0.020967   -0.064129
     0.20566     0.38952    -0.03302     0.02622    0.068036    -0.20505    -0.16861   -0.078204    -0.14238    -0.18509      0.2533    -0.06886   -0.039826     0.31823   -0.078235     0.26958   -0.071082    -0.14549    -0.51743    0.091005    -0.23577    0.061393     -0.1166     0.18649    -0.14851     0.13074
    -0.12677    -0.18778    0.066563      0.1702     0.12023     0.13509    0.016606   -0.040125     0.22264    -0.06515    -0.14662      0.1372    -0.26416    -0.12421    0.090367   0.0051669     0.18792     0.25722    -0.24784     0.19036     -0.1016     0.11218     0.10635    -0.15377     0.23301    -0.18989
     0.17785    -0.18554    -0.28287   -0.031083   -0.060132     0.25287     0.18358   -0.049066    -0.18507    0.061359    -0.28949   -0.046212     0.37876    0.062624   -0.028483  0.00064256   -0.078719     0.25943    -0.11875     0.17474    -0.02642     0.15387     0.26157    0.029152    -0.17003     0.18754
   -0.083663    0.030135    -0.17748     0.18373    -0.10973  -0.0024775     0.33667    0.011589   -0.014269    0.026822    -0.43266     0.02297     0.06469    -0.23891    -0.26412    -0.29038     0.62308     0.10521     0.20906    -0.15471   -0.073675      0.6196    -0.18678   -0.044103    0.030323   -0.065365
    -0.18835   -0.063363   -0.024025     0.30326   -0.078781    -0.14664     -0.1376    -0.15475     0.41308    -0.26508      0.1072    -0.52618    -0.17343    -0.10672       0.169    0.064848   -0.027082      0.1685     0.13923    0.034605     0.16305    -0.10055    0.054759    -0.44528    0.020863     0.32736
     0.17487   -0.044208   -0.074127    -0.25165    -0.20076   -0.088887   -0.056755     0.39191    -0.11365    -0.16689    -0.12961    0.038478     0.70186    -0.12318     0.27558    0.052194    -0.21598    -0.12619    -0.37623   -0.013699    -0.17357    0.083305   -0.045253    0.048027       0.189    -0.23211
     0.24155    -0.13513   -0.019357    0.085212    -0.21652     0.05488     -0.0156     0.26467      0.1901   -0.012173     0.18891     0.29459    -0.32608    -0.17896     0.17118   -0.031495    -0.29856    0.019696    0.088316    -0.14603    -0.46293    -0.12756     0.36129     0.30723     0.14233  -0.0053648
     0.44579    -0.37263   0.0019083     0.13786     0.23274    0.026454    -0.05629     0.16759   -0.013054   -0.093552     0.16511    -0.27319    0.022594     0.31965    -0.39318    -0.23037     0.14782     0.12823    0.098884     0.21358    -0.33726    -0.11116    -0.20065   -0.012013    -0.15947   -0.059898
     0.38883    -0.15738      0.4239    -0.36561    -0.17655    0.043448     0.15973    0.033316     -0.5781   -0.046053    -0.05378    -0.27352   -0.060433    -0.17789     0.10508     -0.1563     0.29611  -0.0010241     0.14822  -0.0033037     0.34243     0.34831   -0.034047    -0.19165   -0.051266    -0.24646
     0.13286    0.095738   -0.037538    -0.41615    -0.28978     0.27921    -0.27952    -0.24453     0.07781   -0.099072     -0.4377     0.40809   -0.093556     0.18098     -0.1729    0.037221   -0.012826    -0.20835   -0.033505   -0.060609  -0.0076749    0.069848    -0.17658    -0.33803      0.2532    -0.10344
     -0.1008    -0.27809   -0.025326    0.028724     0.28601   -0.030512    -0.28127      0.2508     0.38548    -0.10116     -0.1976     0.13704     0.25871    0.067175    -0.49986     -0.0815    -0.35742     0.14423     0.12138     0.07572   -0.089105     0.07023   -0.026007    -0.09387   -0.097348     0.15415
   -0.086292    -0.26375    -0.03265     0.14278  -0.0043912    0.066032     0.33115    -0.27522   -0.013899   -0.069357     0.23846     0.71426     0.31413     0.11432     -0.1119    0.065821    -0.15663    -0.05653    -0.11741    -0.05797   -0.025638    0.029175   -0.087642    -0.11768     0.25881   -0.055962
    -0.27934    -0.14688     0.46427   -0.096897     0.29652     0.10192     -0.1848 -0.00077941     0.51075    -0.14491    0.058677    0.054146    -0.36133    -0.30572   0.0062438     0.38069     0.31037     0.25728]"
uploads\faces\self_imge_1.jpg,ArcFace,fastmtcnn,0,"[   0.047342    0.044874     0.22572     0.13033   -0.032354    0.030167   -0.069639   -0.030582    0.078939   -0.093259      0.4006   -0.021057    -0.44407    0.045558      0.2896    0.015472   -0.035686    -0.17781     0.20712    -0.20179     0.27668  -0.0092077     0.42038    -0.13321   -0.010701    -0.22055
   -0.076772     0.17011     0.13291    -0.50594    0.050669   0.0068125     0.14863    0.044447   -0.033013    -0.10797    0.017294    0.092615      0.2664   -0.086107   -0.052133     0.34588     0.19025    -0.23786    -0.32141    0.095755    -0.18018    -0.01548    0.087934  -0.0090057     0.20725     0.11803
     -0.3183   -0.088452    -0.18518     0.18862   0.0075775    0.024387    -0.15004    -0.45134    -0.67301      0.2439    0.056453    -0.13743   -0.033982    0.075609     0.19896    -0.19771    -0.49795   -0.042296    -0.40064    -0.11473     0.13737   -0.080151    -0.24484   -0.097493    -0.37536    0.030774
    -0.20185     0.16004   -0.075979    -0.23096    -0.22191    -0.29797     0.29948      0.2211   -0.068424   -0.080942    -0.20978    -0.11201     0.07441     -0.3275    -0.39209    0.028478   -0.045736  0.00018248    -0.10497    0.050951     0.29473    0.071448    -0.28821   -0.098839    -0.10355    -0.13652
     0.40145    -0.05572   -0.044981     0.41209    -0.01532    0.096236    0.023681     -0.2786    0.035475     0.10247    -0.18177    0.071272     0.27897    -0.28083    -0.25179    -0.14443     0.20211   -0.094262    -0.23647     0.16611    -0.10397    -0.21639     0.02524    -0.34223     0.15805     0.33127
     -0.2384   -0.031797    -0.15963    0.077075     0.12042   -0.043879  -0.0079196    0.094094    0.059956     0.19005    -0.34401   -0.034138    -0.02657    0.081005   -0.077283     0.44798    -0.17638     -0.1761     0.10002     0.23007   -0.043225    0.078251    -0.03855    -0.15216   -0.080485    -0.10999
   0.0024561  -0.0015757    0.095453   -0.008798  -0.0013091     0.22232    -0.17356    -0.17043     0.13885   -0.021252      0.1232    -0.22033    -0.23959    -0.13113     0.11036    -0.32377    0.028991   -0.048455   0.0052134    -0.12781     0.09772    0.066654    -0.15353    -0.28909     0.12111    0.046499
     0.12731     0.28926  -0.0073358    0.046399    0.053506   -0.095376    -0.22087   -0.029267    -0.14659    -0.16632     0.19029    -0.13494   0.0041937     0.20849     -0.1198     0.18521    -0.05693   -0.028039      -0.316     0.10514    -0.14631   0.0094214   -0.059345     0.10391    -0.12395     0.17335
     -0.1622   -0.057968    0.073429      0.1388    0.035556   -0.018179   -0.044156    0.069285     0.18789    0.022899     -0.1167     0.20122     -0.2113  -0.0072046  -0.0039828    -0.09623     0.18028    0.028643    -0.24568     0.17288   -0.046437     0.19773     0.13559    -0.25342       0.102    -0.15629
     0.12579    -0.20143    -0.26762   -0.066324   -0.024989     0.33735    0.074097   -0.026998     -0.1116    0.081912    -0.16963    -0.16156     0.26697    0.051988   -0.079061  -0.0057591   -0.097531     0.14898   -0.053857     0.17547     -0.1346     0.17194     0.21211   -0.021436    -0.19061     0.18337
    -0.13067   -0.051274    -0.13943    0.087994   -0.051288    0.042702     0.22416    0.011443   -0.068692    0.016287     -0.4012   -0.062284     0.18401    -0.21889    -0.23816    -0.25134     0.47086   -0.068877      0.1434    -0.16494    0.058424     0.54514    -0.12319    -0.10661     0.10362   -0.083722
    -0.41526    0.025723   -0.077138     0.21831   -0.045187    -0.15892    -0.10541    0.095803     0.45587    -0.16846    0.094034    -0.44942   -0.064805    -0.11249      0.1412     0.23555   -0.037459     0.17129     0.13781   -0.052129    0.065043    -0.11733     0.29885    -0.30667   -0.048996     0.21917
    0.064083    0.025301   -0.076798    -0.19007     -0.2669   -0.020292  -0.0043353     0.34133   -0.039784   -0.054197    -0.15265     0.14728     0.55299    -0.21803     0.21451     -0.1094    -0.28606   -0.032273    -0.36771    -0.16021    0.049659    0.030319     0.11398   -0.062944     0.21875    -0.15027
    0.045633     -0.1946     0.06711    0.094304    -0.17299     0.00683    0.083837     0.17077     0.16121   -0.027796     0.20338     0.22386   -0.044351     -0.1342    0.045759    0.025854   -0.093721    0.089352    0.067032    -0.19769    -0.45308   -0.020796     0.31328     0.30543     0.21415    -0.10717
     0.46813    -0.28726   -0.042071     0.20264     0.13661   -0.044116   -0.070003     0.10181     0.05885    -0.26027     0.12562    -0.22089    -0.11183     0.34596    -0.27142    -0.16323     0.12387   0.0023301     0.10844     0.15548    -0.21796  -0.0068373    -0.10975   -0.015453   -0.076921   -0.057301
     0.22538   -0.063416     0.26459    -0.24503    -0.13962   -0.049733    0.048172    0.099993    -0.55547   -0.081579    0.068155    -0.23215    -0.23075    -0.14696   0.0067648    -0.15377     0.18987    0.058091    0.071623    0.037047     0.27654     0.29384    0.042712    -0.26436    0.084885     -0.1641
   -0.064453    0.049005   -0.032622    -0.24685    -0.27312     0.16986   -0.041846    -0.28571     0.12929   0.0087059    -0.28104      0.2328   -0.022861     0.11216    -0.20863    0.020898    0.029144    -0.13687 -0.00018344    -0.14394   -0.042013    0.026347     -0.1675    -0.20963     0.17453    -0.13517
   -0.067079    -0.41771   -0.091966   -0.034644     0.23644   -0.060742    -0.44598      0.1772     0.16955    -0.07148    -0.27708     0.19889     0.17574     0.11125    -0.30182     -0.1695    -0.24763    0.050444     0.21402    0.088309    -0.12643    0.085177   -0.074979     -0.1128    -0.13714     0.30678
   -0.077138    -0.20939  -0.0094639    0.014867    0.016614    0.025028      0.2401    -0.28819   -0.022844     -0.1655     0.25279     0.62475     0.14111    0.011915   -0.055896     0.16806    -0.12863   0.0045731    -0.14717   0.0076507    0.040424    0.076631    -0.11979     -0.1722     0.24338    0.056842
    -0.26424    -0.04175     0.60073   -0.053769     0.18017     0.10225    -0.21702    0.061828     0.40956   -0.046028     0.12571    0.085643    -0.25624     -0.2504   0.0068845     0.31717     0.42684     0.25883]"
uploads\faces\self_imge_1.jpg,ArcFace,yolov8,0,"[   0.082035    0.096958     0.25682     0.17485   -0.090002   0.0083371   -0.066935   -0.054487      0.1518   -0.082062      0.3813  -0.0075566    -0.43419      0.1044     0.23401    0.022947    -0.03964   -0.070808     0.18261    -0.20854     0.35165    0.038964     0.35842    -0.13348   0.0051304     -0.2542
    -0.15635     0.13432    0.042476    -0.41656   -0.071418    0.045657     0.21013    0.011999   -0.032244    -0.17697    0.025926     0.17644     0.19005    -0.11017   -0.025938     0.30544     0.32057    -0.25377    -0.40228     0.06717   -0.099803   -0.038718     0.24381 -0.00062189     0.12365     0.23298
    -0.16427    -0.11227    -0.24476     0.25192    0.019622    0.080189    -0.16715    -0.43155    -0.70074     0.25679    0.086115    -0.15109    0.040317     0.15425     0.24942    -0.20423    -0.40339  -0.0020312    -0.39466    -0.01106     0.17553   0.0084705    -0.26903    -0.09113    -0.36804    0.082358
    -0.16842      0.1066   -0.075739    -0.17934    -0.11921    -0.24958      0.2754     0.24074    -0.14875   -0.090289    -0.26054   -0.084644     0.11768    -0.32796    -0.42624   -0.021233    -0.07334    0.043609  -0.0010655    0.073426     0.30059   0.0044967    -0.26982   -0.079609    -0.04916    -0.10597
     0.44387   -0.076335    -0.12115     0.46184    0.014032     0.10938     0.04505    -0.38355   -0.080354    0.088519     -0.1874    0.042726     0.32168    -0.25257     -0.2963    -0.13218      0.1192    -0.21735    -0.20123     0.21411    -0.11092    -0.29237    0.041542    -0.52612     0.12375      0.2808
     -0.2556   -0.065496    -0.24073   -0.014544     0.11077 -0.00039768   -0.076777     0.14278     0.11243     0.18699    -0.33658    0.037612   -0.084875    0.072497  -0.0019788     0.45651    -0.21794    -0.26199    0.066431     0.20514   -0.048856     0.01602     0.01375    -0.14259   -0.048734    -0.14128
      0.1937    0.052837     0.13032   -0.040124   -0.022133     0.30027    -0.15445    -0.20529     0.28143   -0.081845     0.19686     -0.2726    -0.18782    -0.15694    0.077168    -0.40778    0.039155    -0.04232    0.075694   -0.072598     0.11389    0.094781    -0.10469    -0.24095    0.061409    0.049187
     0.12928     0.34819   -0.064416    0.018985    0.033388    -0.13765    -0.17224   -0.032184     -0.1503    -0.14382     0.18324    -0.12848  -0.0048349     0.13453    -0.10618    0.090375   -0.091895    -0.05863    -0.34902    0.084877    -0.13487    0.050749   -0.027255     0.13003    -0.10638     0.16239
    -0.15794    -0.15003    0.092175     0.16963    0.043068    0.058655   -0.058981    0.025404     0.14255    -0.12862    -0.15876       0.145     -0.2083   0.0045367   -0.092077     -0.1003       0.212   -0.024525    -0.29309     0.21735    -0.00342     0.19749     0.11088    -0.15458     0.17361    -0.23392
     0.11173    -0.23927     -0.2821    -0.11322    -0.14464     0.24631    0.081215    0.028426   -0.024529       0.118     -0.1511   -0.073671     0.34833    0.010982    -0.09207   -0.017633   -0.056044     0.17097   -0.011496     0.17027    -0.12316     0.18594     0.14093   -0.088808   -0.092358     0.21985
   -0.051718   -0.019127    -0.16871     0.14867    -0.14261   -0.094608     0.23184   -0.012069   -0.021093    0.036145    -0.34409   -0.071208     0.07265    -0.22938    -0.24514    -0.24696     0.42509    -0.10973     0.18244    -0.17987   0.0095692     0.56389     -0.1288   -0.081796     0.16057  -0.0071448
    -0.28215    0.003335    -0.15297     0.22485    -0.10554   -0.098302    -0.23105    -0.02265     0.41954     -0.2366    0.094732    -0.43238   -0.097164   -0.085094    0.074754     0.23517   -0.090656     0.12775     0.19206   -0.095734     0.13349    -0.10648     0.30701    -0.24107    -0.03178     0.26208
      0.1073    0.091092    -0.14731    -0.22636    -0.31676   -0.088333   -0.044054     0.43273   -0.099201    0.042127    -0.21561     0.13874     0.54709    -0.18686     0.21331   -0.070695    -0.23188   -0.054269    -0.28094    -0.16511   -0.098312    0.075709     0.12622   -0.045396     0.19751    -0.14581
    0.070495    -0.11358    0.049564     0.15649    -0.16689   0.0056856   -0.041499     0.17139     0.29419    -0.03095     0.21088     0.20471   -0.093394   -0.072849     0.12741   -0.053793    -0.11439    0.079069    0.049491    -0.13909    -0.41227   -0.085356     0.23455     0.27078      0.2378    -0.13513
     0.44185    -0.29711   -0.096394     0.11264     0.11302   -0.016598    0.018328     0.14608  -0.0023357    -0.25568    0.088695    -0.22719    -0.01868     0.28443    -0.26447    -0.37347     0.17238    0.067198     0.14924     0.17241    -0.30481   -0.021442    -0.13836   -0.023998   -0.099642   -0.080901
      0.2454   -0.090078     0.31964     -0.3175    -0.16283    0.013824     0.07674    0.077037    -0.57105    -0.10211    0.016303    -0.21412    -0.18794    -0.13039    0.050339    -0.13848     0.25106    0.030899     0.10621    0.036895     0.24954     0.31014    0.021354    -0.24524    0.043864    -0.18241
   -0.035484    0.079235   -0.023492    -0.34953    -0.24807     0.18728   -0.071202    -0.19816     0.16239    0.031461    -0.30078     0.27479    -0.10781    0.076572     -0.2218    0.075936   -0.067212    -0.10511   0.0064361    -0.17633  -0.0076867    0.010324    -0.20289    -0.24055     0.16213    -0.16289
   -0.090483    -0.48666   -0.097731   -0.063972     0.21726   -0.052807    -0.30444     0.21309     0.24629    -0.15289    -0.24394     0.23714     0.15999    0.097427    -0.27796    -0.10041    -0.25101    0.029746      0.1595    0.079379    -0.20467    0.089899   -0.083043    -0.19184   -0.072681     0.34371
    -0.10436    -0.17932   -0.079444    0.039142   -0.065308    0.073704     0.31608    -0.25534    -0.11837    -0.16256     0.38618     0.71601    0.022652  -0.0078558    -0.03885     0.16888   -0.089521   -0.067038   -0.082419   0.0060928    0.056725      0.1025   -0.032016    -0.11398     0.25811    0.018116
    -0.26046   -0.049352      0.4957   -0.032217      0.1683     0.20659    -0.27369     0.12444      0.3257   -0.066111     0.11236    -0.03402     -0.3232    -0.26757   -0.033986      0.3482     0.47011     0.18206]"
